id,agent_id,user_id,title,summary,is_archived,is_pinned,message_count,last_message_at,metadata,created_at,updated_at
ea6894d6-9a14-4940-9c27-bd999fe98102,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,Hey,,f,f,2,2026-03-06 13:34:57.78837+00,{},2026-03-06 13:34:31.172106+00,2026-03-06 13:34:58.119054+00
a2d11417-7dfb-44bc-97e2-9df85f78e106,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,What is 2 + 2?,,f,f,2,2026-03-06 14:12:25.792363+00,{},2026-03-06 13:35:06.912629+00,2026-03-06 14:12:26.298033+00
a937077b-4120-4d2e-9bb8-51bb6a4438a0,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,Give me few prompt to test the short/long term memory of an AI agent,,f,f,2,2026-03-10 06:57:01.565396+00,{},2026-03-10 06:55:42.035595+00,2026-03-10 06:57:01.932003+00
e7e21667-3a37-48fc-b357-3e8b8e72ce80,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,I love animated web sites,,f,f,2,2026-03-10 07:14:04.633034+00,{},2026-03-10 06:55:41.633338+00,2026-03-10 07:14:04.968527+00
e84eb2d5-8499-4c64-a994-3538120e861c,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,,,f,f,0,,{},2026-03-10 07:25:09.318561+00,2026-03-10 07:25:09.318561+00
b5a355c2-a79e-4743-a970-261edd79dc01,aa0de76a-9577-4471-a863-61bc449f103f,7c82547b-708e-42bb-bd07-56b3994fa160,What do you know about me?,,f,f,2,2026-03-10 07:25:30.557574+00,{},2026-03-10 07:25:09.932266+00,2026-03-10 07:25:30.88267+00
